######################################################################
# Supplementary data to
#   Benavides, Ritt (2014): "Local search heuristics for minimizing total
#     flowtime in permutation and non-permutation flow shops"
#
# Data as reported in Table 2, column "60 nm". The table contains 10
# replications for each of the 120 Taillard instances, for a total of
# 1200 entries.
#
# Base: pfs-5524-double.log
######################################################################
"name","best","seed"
"ta075",285986,1874220561
"ta076",272065,3507842681
"ta077",281161,1612485053
"ta078",293323,242666482
"ta079",304772,349358043
"ta080",293407,2327212512
"ta081",369348,2288136121
"ta082",375681,3238288793
"ta083",372183,3566660241
"ta084",376399,2552970812
"ta085",370481,2822597256
"ta086",377074,2798711437
"ta087",375876,604003302
"ta088",387817,705878216
"ta089",376747,2023930477
"ta090",381071,2657437639
"ta091",1051106,539573724
"ta092",1045632,1359322545
"ta093",1050440,3340386489
"ta094",1036531,165356342
"ta095",1038978,3677127689
"ta096",1013037,944050620
"ta097",1061090,2256306906
"ta098",1048400,1433328483
"ta099",1027722,3840186504
"ta100",1038368,1520532378
"ta101",1228438,2366551175
"ta102",1250288,1921767757
"ta103",1276445,3750110264
"ta104",1249939,4047651557
"ta105",1230782,3242175146
"ta106",1235799,2081343701
"ta107",1246281,2705224912
"ta108",1253996,3187775140
"ta109",1241161,3689765818
"ta110",1255289,901205983
"ta111",6704241,4120318686
"ta112",6846200,2814595790
"ta113",6757433,3230138246
"ta114",6802765,1607128678
"ta115",6750791,2637234088
"ta116",6743624,1901114609
"ta117",6714250,124021322
"ta118",6771654,3334451344
"ta119",6717732,150302239
"ta120",6768689,4116710262
"ta001",14033,3912665741
"ta002",15151,2000464154
"ta003",13301,1375333731
"ta004",15447,904073697
"ta005",13529,1200870
"ta006",13123,3044588761
"ta007",13548,1897684174
"ta008",13948,4254238788
"ta009",14295,3292966206
"ta010",12943,2920546423
"ta011",20911,4209486813
"ta012",22440,1286438878
"ta013",19833,1934561725
"ta014",18710,397236449
"ta015",18641,3850366289
"ta016",19245,1547722157
"ta017",18363,37426990
"ta018",20241,183712586
"ta019",20330,2317524135
"ta020",21320,2045880976
"ta021",33623,1236222041
"ta022",31587,2934924301
"ta023",33920,3424767050
"ta024",31661,410021170
"ta025",34557,3119397258
"ta026",32564,3099223550
"ta027",32922,3638520639
"ta028",32412,2943271525
"ta029",33600,875118753
"ta030",32262,4161811962
"ta031",64908,148121378
"ta032",68102,992777363
"ta033",63243,3452125607
"ta034",68442,3295093236
"ta035",69392,4167306885
"ta036",66959,2762248535
"ta037",66401,2083304730
"ta038",64490,2175697858
"ta039",63053,2030786047
"ta040",69041,1724571014
"ta041",87457,1396773167
"ta042",83108,3734284826
"ta043",80010,1955043403
"ta044",86525,1681101366
"ta045",86674,1816657315
"ta046",86840,371493101
"ta047",88807,458344725
"ta048",87300,4102553498
"ta049",85520,98745313
"ta050",88202,1183783972
"ta051",126381,3230545962
"ta052",119259,1086099358
"ta053",116891,493124298
