"name","best","seed"
"ta022",31110,3875000550
"ta023",33257,333169833
"ta024",31029,3033129802
"ta025",34199,556023344
"ta026",32035,501289066
"ta027",32858,220890337
"ta028",32141,2368209775
"ta029",33078,136000234
"ta030",31776,1630117827
"ta031",64852,3786457765
"ta032",68125,3874849672
"ta033",63421,2072489113
"ta034",68290,228680475
"ta035",69414,2288201287
"ta036",66752,1904267710
"ta037",66228,1477679637
"ta038",64355,1500809613
"ta039",62950,3339911032
"ta040",68833,3294676453
"ta041",86899,2962700462
"ta042",82568,2688941014
"ta043",79906,631823207
"ta044",86411,2925017776
"ta045",86085,595729797
"ta046",86229,1038976535
"ta047",88376,1618745767
"ta048",86824,3386969150
"ta049",85329,2261569302
"ta050",88245,2417097172
"ta051",125751,1243133409
"ta052",117388,1233022328
"ta053",116265,1130156606
"ta054",120310,480396321
"ta055",117318,1673581378
"ta056",119975,3932721607
"ta057",123032,795869241
"ta058",122350,839820702
"ta059",121557,3260915094
"ta060",123739,2557446541
"ta061",254376,3222314211
"ta062",243944,4136599739
"ta063",238842,1372659937
"ta064",228534,2716889248
"ta065",241378,1858259775
"ta066",233358,920793910
"ta067",241415,1923446749
"ta068",231902,3566340514
"ta069",248807,3051270734
"ta070",243709,1755536430
"ta071",300188,4076705949
"ta072",274995,3575775831
"ta073",288988,1225033535
"ta074",304066,2384288642
"ta075",284977,160756389
"ta076",271330,3362275670
"ta077",280810,2730797802
"ta078",291410,749752910
"ta079",302481,3962385834
"ta080",292771,3331238120
"ta081",366899,3311232917
"ta082",373371,206276112
"ta083",372020,3114164197
"ta084",374155,1552517193
"ta085",369217,1327631435
"ta086",373109,1224571120
"ta087",372643,751550949
"ta088",383905,1528938812
"ta089",375999,1637412048
"ta090",380448,1045543050
"ta091",1045778,1546951143
"ta092",1043940,673808546
"ta093",1050683,2532927560
"ta094",1034578,1918651328
"ta095",1038352,2738730198
"ta096",1012304,1128107364
"ta097",1058722,1659232625
"ta098",1046837,675350025
"ta099",1026903,1101890317
"ta100",1037003,3720643301
"ta101",1225180,3119703974
"ta102",1246057,2823850773
"ta103",1271409,867203821
"ta104",1240599,1109155752
"ta105",1223473,1523707404
"ta106",1226998,401382274
"ta107",1243055,536882783
"ta108",1251299,3643327828
"ta109",1231560,1768897969
"ta110",1245108,2683021492
"ta111",6694073,82004705
"ta112",6828259,1796811820
"ta113",6724051,3395490560
"ta114",6775436,3678319422
"ta115",6720103,982862294
"ta116",6722106,2446454917
"ta117",6687855,492306766
"ta118",6756811,2188413419
"ta119",6693489,1388611301
"ta120",6750669,3472463
"ta001",14002,3713233999
"ta002",15151,2090561704
"ta003",13056,4178712878
"ta004",15412,1768522527
"ta005",13472,3305187373
"ta006",13072,1302784318
"ta007",13479,1172068683
"ta008",13882,3684121560
"ta009",14047,2537238271
"ta010",12907,86469597
"ta011",20650,1398380120
"ta012",22374,574535366
"ta013",19548,3772582241
"ta014",18483,3357877373
"ta015",18343,667807849
"ta016",18843,84044646
"ta017",18073,1300972478
"ta018",20085,999933917
"ta019",20106,4062807139
"ta020",21015,4016505028
"ta021",33540,705867960
"ta022",31039,891391602
"ta023",33306,2553779989
"ta024",31316,4034973380
"ta025",34242,3901878773
"ta026",32048,1670585395
"ta027",32549,3759509360
"ta028",32189,176548285
"ta029",33219,682389377
"ta030",31776,4155898443
"ta031",64800,2532210220
"ta032",68043,2154770534
"ta033",63303,2858266710
"ta034",68293,248781384
"ta035",69314,862182962
"ta036",66947,4026004818
"ta037",66252,3653462523
"ta038",64285,1705571092
"ta039",63002,101050334
"ta040",68913,357669525
"ta041",87612,155355433
"ta042",82568,1498075796
"ta043",79872,2152940830
"ta044",86407,2826005814
"ta045",86256,3707474914
"ta046",86310,737275800
"ta047",88914,3659991836
"ta048",86925,4252199126
"ta049",85436,47017309
"ta050",88078,2431597598
"ta051",125187,2538264386
"ta052",117413,1473808801
"ta053",115552,2478040862
"ta054",120264,783128236
"ta055",117719,1775042311
"ta056",120090,3722876019
"ta057",122903,1663924447
"ta058",121669,2486474464
"ta059",121628,1152672542
"ta060",123660,1600809420
"ta061",254401,3584594544
"ta062",243862,3349963495
"ta063",238597,1282140634
"ta064",228293,1518586965
"ta065",240917,3689174253
"ta066",233640,1301014341
"ta067",241212,2750466478
"ta068",231811,1665965887
"ta069",248633,3692784220
"ta070",244143,3162437156
"ta071",299712,2000526580
"ta072",275081,2203504441
"ta073",288666,1950106388
"ta074",304153,78514887
"ta075",285112,425458800
"ta076",270781,2330758026
"ta077",281609,3067847701
"ta078",292804,3703953839
"ta079",302447,3819288150
"ta080",292641,2531168751
"ta081",365032,3251581804
"ta082",372835,1984424910
"ta083",371317,1178128777
"ta084",375102,559039012
"ta085",368548,911925479
"ta086",372445,1555285781
"ta087",374096,2426618771
"ta088",383031,1688367276
"ta089",376170,861122365
"ta090",379193,1965094383
"ta091",1049828,378433700
"ta092",1044075,2012996048
"ta093",1051697,1273999275
