"name","best","seed"
"ta106",1225447,3392455758
"ta107",1250009,1670650217
"ta108",1251114,2233061912
"ta109",1236895,779979428
"ta110",1249674,3165014836
"ta111",6701130,1256697444
"ta112",6838721,2402237363
"ta113",6759556,3213989494
"ta114",6812620,1036490975
"ta115",6744737,919482042
"ta116",6736585,2172780499
"ta117",6693682,3627619180
"ta118",6771639,1215749288
"ta119",6708429,2626246158
"ta120",6769427,3616904726
"ta001",14033,2065298461
"ta002",15151,3999391990
"ta003",13021,3798268274
"ta004",15412,1384098831
"ta005",13472,2862338050
"ta006",13072,6176917
"ta007",13479,864824040
"ta008",13882,1099345759
"ta009",14123,1145705359
"ta010",12907,2513531345
"ta011",20650,3159776904
"ta012",22374,3782216953
"ta013",19560,1983197442
"ta014",18483,921555697
"ta015",18343,4227008412
"ta016",18928,1081007328
"ta017",18073,1640957732
"ta018",20111,3208527549
"ta019",20106,2650693078
"ta020",21066,1103195405
"ta021",33540,812898453
"ta022",31061,3344795753
"ta023",33150,807548262
"ta024",31182,3473928939
"ta025",34199,389874728
"ta026",32208,2098864073
"ta027",32858,1301610783
"ta028",32285,1206194715
"ta029",33301,3695029205
"ta030",31784,908688015
"ta031",64794,398433070
"ta032",68020,2682103139
"ta033",63347,2487892613
"ta034",68349,812360696
"ta035",69430,3565779598
"ta036",67002,1623415852
"ta037",66166,2304121347
"ta038",64382,3670936328
"ta039",63049,2246232998
"ta040",68965,3433606543
"ta041",87466,3081974213
"ta042",82719,1940619775
"ta043",79843,239528431
"ta044",86508,733353465
"ta045",86507,1556201431
"ta046",86393,3251175434
"ta047",88891,983193919
"ta048",86755,2453029454
"ta049",85539,97458536
"ta050",88130,339259263
"ta051",125276,739984850
"ta052",118198,2144401993
"ta053",115582,3912026374
"ta054",120153,2867838030
"ta055",117337,3227905806
"ta056",120827,1964510170
"ta057",123151,286538846
"ta058",122252,1388898548
"ta059",121770,3307814844
"ta060",124092,2923089211
"ta061",254316,4095396069
"ta062",244158,1481072329
"ta063",238772,1416657291
"ta064",228656,3366291276
"ta065",241397,167941663
"ta066",233665,2519079002
"ta067",241670,3382849940
"ta068",232030,2421530682
"ta069",248886,1218126052
"ta070",244762,15440951
"ta071",300749,665665955
"ta072",276083,1773204683
"ta073",288738,3937404055
"ta074",305045,818958554
"ta075",285023,2164146437
"ta076",271177,1604676443
"ta077",280522,4194090593
"ta078",292680,2066473603
"ta079",303485,1379615894
"ta080",292295,2227129667
"ta081",366667,2211998624
"ta082",374622,1511732905
"ta083",372079,3772122523
"ta084",373326,3542737167
"ta085",369316,731465087
"ta086",373356,431160671
"ta087",374328,1439796879
"ta088",385113,3672478562
"ta089",375207,618647125
"ta090",380570,2869535118
"ta091",1048671,1804080710
"ta092",1043429,1257562619
"ta093",1049712,3754717185
"ta094",1035789,1390968320
"ta095",1039891,3992364384
"ta096",1012552,3565935120
"ta097",1058147,355528726
"ta098",1046721,270442050
"ta099",1027667,2101362958
"ta100",1036274,4096791061
"ta101",1224758,3355401647
"ta102",1243053,2628786317
"ta103",1265274,1854788791
"ta104",1238264,3848299022
"ta105",1225521,946136761
"ta106",1225254,1664328140
"ta107",1244858,2683945525
"ta108",1246936,1535908373
"ta109",1235218,797840682
"ta110",1247508,1082565243
"ta111",6707681,1024280752
"ta112",6832070,578703721
"ta113",6730960,3852088338
"ta114",6801308,3758957800
"ta115",6749144,842400002
"ta116",6744568,558148597
"ta117",6683907,709842224
"ta118",6767889,1220547880
"ta119",6717099,1753377302
"ta120",6758837,2925834957
"ta001",14002,1158657948
"ta002",15151,1403707360
"ta003",13014,1008462893
"ta004",15412,1238904083
"ta005",13472,3569139031
"ta006",13072,281496482
"ta007",13479,3928735834
"ta008",13882,39675010
"ta009",14047,199900590
"ta010",12907,2179885297
"ta011",20650,701667434
"ta012",22374,1258391037
"ta013",19548,3361663045
"ta014",18483,2244329157
"ta015",18343,3421238711
"ta016",18998,86951419
"ta017",18188,2122417459
"ta018",20091,1371123342
"ta019",20106,3566864401
"ta020",21066,2407913293
"ta021",33540,2352025554
"ta022",31317,4072845552
"ta023",33505,2497654018
"ta024",31029,145759171
"ta025",34284,1252697810
"ta026",32223,3782559643
"ta027",32858,2380733923
"ta028",32285,1754213762
"ta029",33238,4081381191
"ta030",31776,2863005333
"ta031",64821,1904327109
"ta032",67924,2170366605
"ta033",63219,1736418545
"ta034",68314,2855252513
"ta035",69515,398184509
"ta036",66952,3300981290
"ta037",66272,2821664830
"ta038",64300,2287023372
"ta039",62976,1686273121
"ta040",68922,766216315
"ta041",87357,2194691300
"ta042",82614,1937027988
"ta043",79812,1231536538
"ta044",86125,1921719975
"ta045",86253,2100618265
"ta046",86643,3971732487
"ta047",88364,2239427529
"ta048",86887,1138620026
"ta049",85444,1657039259
"ta050",87974,314611915
"ta051",124804,2810218614
"ta052",118060,3420165722
"ta053",116068,2228633590
"ta054",120147,1965941505
"ta055",117521,52277756
"ta056",120439,75097799
"ta057",122356,2013375924
"ta058",121745,2795769357
"ta059",121921,318093755
"ta060",123995,3086939205
"ta061",254497,2041229930
"ta062",243383,2342713593
"ta063",239564,1670119476
"ta064",228465,120688384
"ta065",241508,3507146160
"ta066",233096,2066568035
"ta067",241295,1723346316
"ta068",232128,528293642
"ta069",249310,2179964045
"ta070",244106,1967167233
"ta071",300383,2903041185
"ta072",276007,1577907731
"ta073",288527,2565659552
"ta074",304226,2668197909
"ta075",284255,1830820508
"ta076",270451,3816132811
"ta077",281184,471524418
"ta078",292241,2053512155
"ta079",303412,4062476736
"ta080",292248,2003383847
"ta081",366647,1035923755
"ta082",373240,801233166
"ta083",371960,677242365
"ta084",375105,1243684395
"ta085",370060,1097573165
"ta086",373278,3287335994
"ta087",375965,1477495348
"ta088",384356,955307416
"ta089",377068,1193491911
"ta090",379634,2926258955
"ta091",1048448,119436371
"ta092",1044368,1568975744
"ta093",1048302,3186292293
"ta094",1034645,1098856088
"ta095",1041270,560826276
"ta096",1010059,616030395
"ta097",1063792,2234074517
"ta098",1047365,1271580432
"ta099",1026003,3986593969
"ta100",1035136,174471133
"ta101",1222925,2327265290
"ta102",1248866,641765475
"ta103",1273007,3818481852
"ta104",1240850,623753402
"ta105",1227982,1338638867
"ta106",1223365,2205535718
"ta107",1247937,1275387760
"ta108",1249738,3960165265
"ta109",1232249,3324192475
"ta110",1249285,2289230100
"ta111",6708492,2183779734
"ta112",6837990,1963894227
"ta113",6735670,732599310
"ta114",6796047,3251616666
"ta115",6739891,1700560711
"ta116",6736926,609356184
"ta117",6685365,3571070405
"ta118",6773108,2988242339
"ta119",6716511,1165090943
"ta120",6759508,253109083
"ta001",14007,3146553148
"ta002",15151,1830974812
"ta003",13011,3904723578
"ta004",15412,581212382
"ta005",13472,2954278100
"ta006",13072,3262547436
"ta007",13479,2809598833
"ta008",13882,4035718830
"ta009",14047,1763631296
"ta010",12907,2027886894
"ta011",20650,3432818270
"ta012",22411,3358545093
"ta013",19548,1720437433
"ta014",18483,3395419471
"ta015",18343,2099467623
"ta016",18998,3872497531
"ta017",18089,1317247354
"ta018",20018,3952221408
"ta019",20106,3621639270
"ta020",21066,739627881
"ta021",33540,132552688
"ta022",31252,47769286
"ta023",33304,2616645384
"ta024",31029,2589752788
"ta025",34199,4088390168
"ta026",32085,852962078
"ta027",32858,1941137081
"ta028",32201,998141087
"ta029",33301,3661322169
"ta030",31776,522816696
"ta031",64798,2838998791
"ta032",68026,3644408846
"ta033",63241,3415210454
"ta034",68448,1716259859
"ta035",69440,3553141480
"ta036",66840,1692150797
"ta037",66171,2865700253
"ta038",64300,2498099813
"ta039",62968,2929554616
"ta040",68998,210093099
"ta041",87545,3752713481
"ta042",82605,2951207982
"ta043",79986,3342610888
"ta044",86557,2566696723
"ta045",86213,1415866589
"ta046",86508,891153717
"ta047",88776,3822055128
"ta048",87028,3594656174
"ta049",85075,1997806812
"ta050",87785,2060495028
"ta051",124460,963130171
"ta052",118206,4201679789
"ta053",115911,1977737861
"ta054",120449,41224209
"ta055",117651,1979795103
"ta056",119965,2523198414
"ta057",122474,2642908608
"ta058",121020,1395165833
"ta059",121704,2468164653
"ta060",123922,3179842739
"ta061",254584,1061406953
"ta062",244105,3278086426
"ta063",239168,1409670957
"ta064",228441,2430411699
"ta065",241177,3883248340
"ta066",233647,703391982
"ta067",241109,962482584
"ta068",231915,3905646339
"ta069",248989,1261373009
"ta070",244816,1095348283
"ta071",300046,3521865819
"ta072",275423,4157427151
"ta073",290560,3682175971
"ta074",302626,3467204098
"ta075",285597,3310144843
"ta076",272020,1980929102
"ta077",280091,307057295
"ta078",292061,1845388919
"ta079",303667,4123160693
"ta080",294041,1473052607
"ta081",367543,4180819373
"ta082",373193,4294399202
"ta083",372955,2651399271
"ta084",373663,3331046602
"ta085",371166,333786009
"ta086",374535,892437761
"ta087",374756,2867153571
"ta088",384483,4037397885
"ta089",376018,187408873
"ta090",381581,3779490779
"ta091",1050156,570853476
"ta092",1044990,231358704
"ta093",1050613,665982564
"ta094",1036385,1065546807
"ta095",1037563,2391396190
"ta096",1010987,3233766570
"ta097",1059234,2707599542
"ta098",1046740,163334977
"ta099",1027513,962448796
