"name","best","seed"
"ta066",233735,2316000955
"ta067",242039,1892009398
"ta068",232253,3314206458
"ta069",249380,2410234566
"ta070",245103,3795020486
"ta071",301559,2472417164
"ta072",276334,1653700926
"ta073",289402,1555029132
"ta074",304721,3196879058
"ta075",285872,3043390493
"ta076",272197,2880714841
"ta077",282106,1865639490
"ta078",293145,221679205
"ta079",303982,3759417777
"ta080",294938,3623682595
"ta081",370121,2265453126
"ta082",374965,3407196380
"ta083",372630,2167945082
"ta084",376691,1153217783
"ta085",371877,3022783202
"ta086",378788,1598896634
"ta087",376837,751134380
"ta088",387688,4088419808
"ta089",378175,939819998
"ta090",382148,2718976671
"ta091",1050809,2261817504
"ta092",1044621,2983119967
"ta093",1055479,1356078971
"ta094",1033434,200052513
"ta095",1040298,2330119151
"ta096",1012914,14896498
"ta097",1062686,1283380733
"ta098",1048542,2578798386
"ta099",1028035,3859894233
"ta100",1037258,2533740738
"ta101",1233924,3033422445
"ta102",1257726,2198990521
"ta103",1280239,3112933337
"ta104",1251333,1204538496
"ta105",1234527,3305200470
"ta106",1235450,2022316408
"ta107",1251954,3081485171
"ta108",1256879,3011052930
"ta109",1237825,3074475815
"ta110",1255611,3828351016
"ta111",6718376,3994021146
"ta112",6849436,1095370525
"ta113",6764157,712713364
"ta114",6803396,2183439996
"ta115",6753056,178318582
"ta116",6746585,3341453459
"ta117",6701505,969051032
"ta118",6781669,159324278
"ta119",6724577,735856912
"ta120",6769646,3211823468
"ta001",14033,562306072
"ta002",15151,1146994396
"ta003",13301,62901609
"ta004",15447,950290018
"ta005",13529,2040088612
"ta006",13123,1036143838
"ta007",13548,2139523427
"ta008",13948,3613105370
"ta009",14295,922205337
"ta010",12943,1241288676
"ta011",20911,1516170599
"ta012",22440,4047317188
"ta013",19833,2158302903
"ta014",18710,404006309
"ta015",18641,2923000928
"ta016",19245,2872832479
"ta017",18363,396209301
"ta018",20241,1411769745
"ta019",20330,3430378349
"ta020",21320,1060046578
"ta021",33623,634140997
"ta022",31587,1651497705
"ta023",33920,519911285
"ta024",31661,283414556
"ta025",34557,628029881
"ta026",32564,3032379767
"ta027",32922,4913636
"ta028",32412,3818644197
"ta029",33600,12712687
"ta030",32262,1132975908
"ta031",64874,1287568638
"ta032",68193,3545851262
"ta033",63316,1583713293
"ta034",68546,340281681
"ta035",69523,2218597610
"ta036",66853,3231108876
"ta037",66275,1088450183
"ta038",64381,3216735368
"ta039",63054,747300636
"ta040",69168,3351478082
"ta041",87329,1700474765
"ta042",83066,1118026943
"ta043",79987,504456175
"ta044",86732,96974813
"ta045",86569,3275659057
"ta046",86714,2494905568
"ta047",88994,2410033108
"ta048",87139,3021019691
"ta049",85616,2478001634
"ta050",88226,1507189355
"ta051",126551,3070573867
"ta052",119550,1624981095
"ta053",116459,639624766
"ta054",120992,3667488288
"ta055",118803,1563732075
"ta056",121047,3707818790
"ta057",123728,3836427914
"ta058",123102,1104853341
"ta059",122198,3492178529
"ta060",124582,1515646955
"ta061",255007,3490546175
"ta062",244006,1539600280
"ta063",239040,3525509891
"ta064",228903,739532218
"ta065",241753,3741063036
"ta066",233961,2647745077
"ta067",241782,2609540750
"ta068",232453,335257473
"ta069",249762,3098477708
"ta070",244945,3261828759
"ta071",300414,1205052882
"ta072",276339,3396189720
"ta073",289287,3761554624
"ta074",303355,3555189867
"ta075",286749,4100686124
"ta076",272078,685094884
"ta077",282013,1113592768
"ta078",293197,2805296457
"ta079",305019,3506918189
"ta080",294201,1679237441
"ta081",369107,2521110375
"ta082",374840,2903329870
"ta083",374913,4200911230
"ta084",375634,1654673212
"ta085",370383,2429398287
"ta086",375696,2799960233
"ta087",376411,3874206637
"ta088",388120,1597843545
"ta089",378681,663531677
"ta090",381605,820641513
"ta091",1050724,4076410235
"ta092",1045259,3587846795
"ta093",1053096,4073288117
"ta094",1037707,2841391484
"ta095",1044979,1011826877
"ta096",1017720,2375011542
"ta097",1059364,712071183
"ta098",1049509,3375301725
"ta099",1027923,515116345
"ta100",1037756,4241272299
"ta101",1234197,4039982185
"ta102",1252035,1331197685
